km/h,rpm,m
50.0253774,10961.69802,-10.43028701
50.07993155,10973.65207,-10.50547698
50.13966218,10986.74041,-10.58066695
50.20395244,11000.82787,-10.65585692
50.27231337,11015.80731,-10.73104689
50.34434547,11031.59118,-10.80623685
50.41971469,11048.10629,-12.28691695
50.55732606,11078.26007,-13.76759704
50.72537219,11115.0828,-15.24827714
50.91214014,11156.0079,-16.72895723
51.11148552,11199.68901,-18.20963733
51.31505176,11244.295,-19.69031742
51.51597862,11288.32265,-21.17099752
51.71439718,11331.80067,-22.65167761
51.91035755,11374.74004,-24.13235771
52.10390831,11417.15142,-25.6130378
52.29509656,11459.04511,-45.78686497
52.483968,11500.43114,-65.96069214
52.67056617,11541.31904,-86.13451931
52.85485794,11581.70156,-106.3083465
53.03688751,11621.58838,-126.4821737
53.21669781,11660.98891,-146.6560008
53.39433055,11699.91228,-166.829828
53.56982623,11738.36738,-187.0036552
53.74322423,11776.36282,-207.1774823
53.91487923,11813.97634,-227.3513095
54.08483358,11851.2172,-227.3513095
54.25311453,11888.09138,-227.3513095
54.41974866,11924.60471,-227.3513095
54.58476189,11960.76286,-227.3513095
54.74817953,11996.57138,-227.3513095
54.91029678,12032.09496,-227.3513095
55.07186493,12067.49822,-227.3513095
55.23288883,12102.78222,-227.3513095
55.39337328,8553.979038,-227.3513095
55.54909895,8578.026574,-227.3513095
55.70481444,8602.072537,34.93628242
55.86051961,8626.116906,32.7257592
56.01621433,8650.159663,30.51523599
56.17189847,8674.200786,28.30471277
56.32757191,8698.240255,26.09418956
56.48323451,8722.278052,23.88366634
56.63874711,8746.292685,21.67314312
56.79361813,8770.208243,19.46261991
56.94785352,8794.025646,17.25209669
57.10145914,8817.745799,15.04157348
57.21988063,8836.032732,14.93899166
57.01117574,8803.804017,14.83640984
56.73244783,8760.762177,14.73382802
56.45174156,8717.414835,14.6312462
56.16899109,8673.751821,14.52866439
55.88412799,8629.762571,14.42608257
55.59708116,8585.436102,14.32350075
55.30777668,8540.761003,14.22091893
55.01613773,12055.28712,14.11833712
54.72208446,11990.85336,14.0157553
54.41984311,11924.62541,14.02874441
54.10941532,11856.60362,14.04173353
53.79079772,11786.78726,14.05472265
53.4639819,11715.17448,14.06771176
53.12895441,11641.76233,14.08070088
52.78569668,11566.54676,14.09368999
52.43418496,11489.52254,14.10667911
52.07439018,11410.68332,14.11966823
51.70627779,11330.02153,14.13265734
51.3298076,11247.52834,14.14564646
50.95709892,11165.8594,13.795646
50.58878583,11085.15362,13.44564555
50.22561337,11005.57427,13.0956451
49.86846419,10927.31477,12.74564464
49.51839401,10850.60643,12.39564419
49.17668048,10775.72922,12.04564374
48.84489223,10703.02687,11.69564328
48.52499059,10632.92914,11.34564283
48.21948706,10565.98637,10.99564238
47.9317037,10502.92649,10.64564193
47.65075374,10441.36396,10.44578394
47.37773902,10381.54023,10.24592595
47.11400788,10323.75074,10.04606797
46.8612453,10268.36471,9.846209979
46.62161689,10215.85667,9.646351993
46.39801715,10166.86088,9.446494007
46.1945483,10122.27623,9.24663602
46.01761763,10083.5067,9.046778034
45.8794011,10053.22031,8.846920048
45.86525875,10050.1214,8.647062061
45.85111641,10047.02249,8.760990124
45.88574476,10054.61035,8.874918186
45.9374585,10065.94201,8.988846249
46.00144983,10079.96396,9.102774311
46.07518447,10096.1209,9.216702374
46.15702523,10114.05407,9.330630436
46.24580165,10133.50701,9.444558499
46.34062395,10154.28473,9.558486561
46.44078722,10176.23278,9.672414624
46.54571622,10199.22511,9.786342686
46.65493095,10223.15654,10.59026536
46.79880383,10254.68236,11.39418804
46.96494783,10291.08829,12.19811072
47.14683922,10330.94483,13.0020334
47.34042771,10373.36447,13.80595608
47.5429754,10417.74728,14.60987876
47.75252988,10463.66543,15.41380144
47.9676458,10510.80222,16.21772411
48.18722271,10558.91652,17.02164679
48.41040417,10607.82065,17.82556947
48.63651167,10657.36595,32.76897017
48.87058229,10708.65615,47.71237086
49.10343014,10759.67841,62.65577156
49.33507269,10810.43656,77.59917226
49.56388836,10860.57527,92.54257295
49.78917348,10909.94037,107.4859736
50.01101379,10958.55063,122.4293743
50.22949186,11006.42414,137.372775
50.44484044,11053.61191,152.3161757
50.65727483,11100.16112,167.2595764
50.86685836,11146.08564,167.2595764
51.07365223,11191.39888,167.2595764
51.27771566,11236.11382,167.2595764
51.47911073,11280.24406,167.2595764
51.6779881,11323.82261,167.2595764
51.87439815,11366.86052,167.2595764
52.06838974,11409.36849,167.2595764
52.26001024,11451.3569,167.2595764
52.44930561,11492.83582,167.2595764
52.63632044,11533.81502,167.2595764
52.82103429,11574.29003,-21.63174088
53.00347789,11614.26757,-21.41609365
53.18369439,11653.75711,-21.20044643
53.36172573,11692.76782,-20.9847992
53.53761262,11731.30864,-20.76915198
53.71139465,11769.38824,-20.55350475
53.88336617,11807.07111,-20.33785752
54.05363194,11844.38021,-20.1222103
54.22221934,11881.32155,-19.90656307
54.38915506,11917.90096,-19.69091585
54.55446516,11954.12416,-19.3194697
54.71817504,11989.99672,-18.94802356
54.88039426,12025.54264,-18.57657741
55.04206346,12060.96804,-18.20513127
54.77148877,12001.67897,-17.83368513
54.36898613,11913.48149,-17.46223898
