km/h,rpm,m
62.15295534,9597.810092,20.75229211
62.47734954,9647.903831,20.7194759
62.79776166,9697.382647,20.68665969
63.11427917,9746.26005,20.65384348
63.42723536,9794.587503,20.62102727
63.73715204,9842.445589,20.58821105
64.04408651,9889.843154,20.55539484
64.34809429,9936.788773,20.52257863
64.64922925,9983.290763,20.48976242
64.94754363,10029.35719,20.4569462
65.24308984,10074.99616,20.42412999
65.53593302,10120.21771,20.39131378
65.8261205,10165.02916,20.35849757
66.11369827,10209.43762,20.32568136
66.39871105,10253.44999,20.29286514
66.68120229,10297.07297,20.26004893
66.96121426,10340.3131,20.22723272
67.23889645,10383.19345,20.19441651
67.51152786,10425.29386,20.16160029
67.77753018,10466.37058,20.12878408
68.03689824,10506.42282,20.09596787
68.28962477,10545.44947,20.06315166
68.53570042,10583.44907,20.03033545
68.77511378,10620.41986,19.99751923
69.00785126,10656.35974,19.96470302
69.23389718,10691.2663,19.93188681
69.45323363,10725.13677,19.8990706
69.66584043,10757.96803,19.86625438
69.87169509,10789.7566,19.83343817
70.0707727,10820.49865,19.80062196
70.26304581,10850.18993,19.76780575
70.44848434,10878.8258,19.73498954
70.62705538,10906.40117,19.70217332
70.79872305,10932.91051,19.66935711
70.96344826,10958.34778,19.6365409
71.12118848,10982.7064,19.60372469
71.27189741,11005.97924,19.57090847
71.41552465,11028.15851,19.53809226
71.55201524,11049.23572,19.50527605
71.68130915,11069.2016,19.47245984
71.80334067,11088.046,19.43964362
71.91803759,11105.75777,19.40682741
72.02532027,11122.32463,19.3740112
72.12510045,11137.73292,19.34119499
72.2172797,11151.96747,19.30837878
72.30174747,11165.01119,19.27556256
72.37837852,11176.84474,19.24274635
72.44702945,11187.44598,19.20993014
72.50753399,11196.78924,19.17711393
72.55969623,11204.84426,19.14429771
72.60328069,11211.57468,19.1114815
72.63799699,11216.93565,19.07866529
72.66347457,11220.86996,19.04584908
72.6792174,11223.30101,19.01303287
72.68451252,11224.11869,18.98021665
72.67820594,11223.14481,18.94740044
72.62834988,11215.44592,18.91458423
72.54824233,11203.07552,18.88176802
72.46812162,11190.70309,18.8489518
72.38798762,11178.3286,18.81613559
72.30784018,11165.95204,18.78331938
72.22767914,11153.57337,18.75050317
72.14750435,11141.19259,18.71768696
72.06731567,11128.80966,18.68487074
71.98711293,11116.42456,18.65205453
71.906896,11104.03726,18.61923832
71.8266647,11091.64775,18.58642211
71.7464189,11079.256,18.55360589
71.66615843,11066.86198,18.52078968
71.58588315,11054.46568,18.48797347
71.50559289,11042.06706,18.45515726
71.42528751,11029.66611,18.42234105
71.34496684,11017.2628,18.38952483
71.26463072,11004.8571,18.35670862
71.18427901,10992.449,18.32389241
71.10391154,10980.03846,18.2910762
71.02352812,10967.62545,18.25825998
70.94312853,10955.20995,18.22544377
70.86271224,10942.79188,18.19262756
70.78227763,10930.37097,18.15981135
70.70181833,10917.94625,18.12699514
70.62130785,10905.51362,18.09417892
70.54063546,10893.056,18.06136271
70.45935704,10880.50479,18.0285465
70.37595758,10867.62604,17.99573029
70.28689041,10853.87207,17.96291407
70.24187567,10846.92079,17.93009786
70.19686092,10839.9695,17.97557216
70.19807365,10840.15677,18.00214432
70.20786019,10841.66803,18.02871648
